OV,T,IQRD
30,5,"Zarka or zarqa (Hebrew: זַרְקָא֮, with variant English spellings) is a cantillation mark found in the Torah, Haftarah, and other books of the Hebrew Bible. It is usually found together with the Segol, with a Munach preceding either or both. The symbol for a Zarka is a 90 degrees rotated, inverted S. The Hebrew word זַרְקָא֮‎ translates as "" throwing "" and the melody is ascending in Moroccan and Sefardic tradition (with two or one retracements respectively) and descending in the Ashkenazic. Zarka is part of the Segol group. In this group, Zarka is the connector and Segol is the separator. זָרַק means to throw; to dispose of, to eliminate; (colloquial) to get rid of someone, to rid oneself, dump. tsinnor (Hebrew, pipe or shaft) mentioned in the Bible in the description of David's conquest of the city (II Samuel 5:8), AV - gutter 1, waterspout 1; 2. 1) pipe, spout, conduit, water conduit."
31,5,"The Masoretic Text (MT or 𝕸; Hebrew: נֻסָּח הַמָּסוֹרָה, romanized: Nūssāḥ Hammāsōrā, lit. 'Text of the Tradition') is the authoritative Hebrew and Aramaic text of the 24 books of the Hebrew Bible (Tanakh) in Rabbinic Judaism. The Masoretic Text defines the Jewish canon and its precise letter-text, with its vocalization and accentuation known as the mas'sora. Referring to the Masoretic Text, masorah specifically means the diacritic markings of the text of the Hebrew scriptures and the concise marginal notes in manuscripts (and later printings) of the Tanakh which note textual details, usually about the precise spelling of words."
32,5,"Shva or, in Biblical Hebrew, shĕwa (Hebrew: שְׁוָא) means falsehood, futility; (literary) vanity, emptiness."
33,5,"The reduced (or ħataf) niqqud exist for segol, patah, and kamatz which contain a shva next to it.חָטַף to catch, seize סֶגּוֹל purple, violet."
34,5,"‎פתח to open, doorway, hatch. חטף refers to to grab; to kidnap; (colloquial) to receive, to get; hijack sth (plane etc.); kidnap, abduct sb; catch, capture, snatch; contract sth (a disease)."
35,5,"‎קמץ refers to clenched, Skimped, curled. חטף refers to to grab."
36,5,"Modern Hebrew, it indicates the phoneme /i/ which is similar to the "" ee "" sound in the English word deep and is transliterated with "" i ""."
37,5,"In modern Hebrew, tzere is pronounced the same as segol and indicates the phoneme /e/, There was a distinction in Tiberian Hebrew between segol and Tzere. צֵרֵי refers to balsam, salve."
38,5,"In modern Hebrew, it indicates the phoneme /e/ which is similar to e in the English word sound in sell and is transliterated as an e. סֶגוֹל refers to purple, violet."
39,5,"פַּתָּח refers to: open, doorway, hatch, started, launched, door, began, vent; to open; to unlock; to unwrap; to turn on (a light, electrical appliance); to split open, to injure, manhole,opening,slot."
40,5,"modern Hebrew, it usually indicates the phoneme /a/ which is the ""a"" sound in the word spa and is transliterated as a . In these cases, its sound is identical to the sound of pataḥ in modern Hebrew. In a minority of cases it indicates the phoneme /o/, equal to the sound of ḥolam. In traditional Ashkenazi Hebrew pronunciation, qamatz is pronounced as the phoneme /ɔ/, which becomes /u/ in some contexts in southern Ashkenazi dialects.קָמֶץ refers to clench."
41,5,"When it is used with a mater lectionis, the holam is called holam male (חוֹלָם מָלֵא‎, IPA: [χoˈlam maˈle], ""full holam""), and without it the holam is called holam haser (חוֹלָם חָסֵר‎, IPA: [χoˈlam χaˈser], ""deficient holam""), חוֹלֶם refers to dreamer. "
42,5,"When it is used with a mater lectionis, the holam is called holam male (חוֹלָם מָלֵא‎, IPA: [χoˈlam maˈle], ""full holam""), and without it the holam is called holam haser (חוֹלָם חָסֵר‎, IPA: [χoˈlam χaˈser], ""deficient holam""), חוֹלֶם וָו refers to vision of him. "
43,5,"From Hebrew קִבּוּץ (kibúts), derived from the radix קבץ (kavatz, ""to gather""). קִבּוּץ means (flowery) collected, gathered, grouping (of entities). A community, usually an agricultural one, based on a high level of social and economical sharing, equality, direct democracy and tight social relations. Kubutz or qubbutz (modern Hebrew: קֻבּוּץ; IPA: [kuˈbuts], formerly קִבּוּץ‎, qībūṣ) and shuruk (Hebrew: שׁוּרוּק, IPA: [ʃuˈʁuk]) are two Hebrew niqqud vowel signs that represent the sound [u]. In an alternative, Ashkenazi naming, the kubutz (three diagonal dots) is called ""shuruk"" and shuruk is called ""melopum"" (מלאפום‎)."
44,5,"The Hebrew diacritic U+05BC ּ HEBREW POINT DAGESH OR MAPIQ can represent:1,Dagesh, indicating a modification of the sound of a letter;2,Mappiq, indicating that the letter He (ה) is to be pronounced as a consonant;3,Shuruk, a niqqud vowel sign representing the sound [u]. DAGESH means emphasis, stress, accentuation. Mappiq refers to stressed, accented, leader."
45,23,"Meteg (or meseg or metheg, Hebrew: מֶתֶֽג‎, lit. 'bridle', also gaʿya געיה‎, lit. 'mooing, lowing, bellowing, Wailing', מאריך‎ maʾarikh, or מעמיד‎ maʿamid) is a punctuation mark used in Biblical Hebrew for stress marking. It is a vertical bar placed under the affected syllable. It refers to toggle, circuit breaker, cut-out, (push) button, press-button, (electricity) switch."
46,5,"…Synonyms used as coordinator: slash, cum, a symbol used to join words or to indicate a word has been split.It means hyphen, dash, enclosed (by a wall etc.), fenced off."
47,5,"In Hebrew orthography the rafe or raphe (Hebrew: רָפֶה, pronounced [ʁaˈfe], meaning ""weak, limp"") is a diacritic (⟨◌ֿ‎⟩), a subtle horizontal overbar placed above certain letters to indicate that they are to be pronounced as fricatives.It originated with the Tiberian Masoretes as part of the extended system of niqqud (vowel points), and has the opposite meaning of dagesh qal, showing that one of the letters בגדכפת is to be pronounced as a fricative and not as a plosive, or (sometimes) that a consonant is single and not double; or, as the opposite to a mappiq, to show that the letters ה or א are silent (mater lectionis).The rafe is similar in function to the buailte (dot above, denoting lenition) in the old-style Irish alphabet."
48,5,"Hebrew punctuation is similar to that of English and other Western languages, Modern Hebrew having imported additional punctuation marks from these languages in order to avoid the ambiguities sometimes occasioned by the relative paucity of such symbols in Biblical Hebrew.‎פָּסֵק refers to a)1.to cease, 2.to stop; b)1.to desist; award (by court etc.), adjudge sth to sb (damages etc.)."
49,5,"‎שִׁין, a voice less sibilant /ʃ/"
50,5,"‎שִׂין, a voice less sibilant /s/"
51,1,"The sof passuk (Hebrew: סוֹף פָּסוּק‎, end of verse, also spelled sof pasuq and other variant English spellings, and sometimes called סילוק silluq, meaning expulsion) is the cantillation mark that occurs on the last word of every verse, or passuk, in the Tanakh. Some short verses contain only members of the sof passuk group.The sof passuk can be preceded by the marks mercha, tipcha, and mercha in that order, including either all or some of these. However, these merchot and tipchot do not necessarily have the same melody as those in the etnachta group. Altogether, there are five possible arrangements how these can appear.  סוֹף means end; finish; death. פָּסוּק means punctuation, statement, verse, phrase, chapter, verse, passage; (syntax) sentence."
55,5,"In a minority of cases it indicates the phoneme /o/, equal to the sound of ḥolam. In traditional Ashkenazi Hebrew pronunciation, qamatz is pronounced as the phoneme /ɔ/, which becomes /u/ in some contexts in southern Ashkenazi dialects. קטן means small, little; קָמֶץ means clenched."
56,5,"‎אָלֶף refers to ox, strength, leader, strong, power."
57,5,"‎בֵית refers to family, house, in, tent, floorplan."
58,5,"‎גִּמֶּל refers to foot camel pride gather walk."
59,5,"‎דָּלֶת refers to tent door, pathway, door, move, hang, entrance. "
60,5,"‎ הֵא refers to Lo! Behold! the, man with arms raised, look, reveal, breath."
61,5,"‎ וָו refers to nail, peg, add, and, tent peg, secure, hook."
62,5,"‎זָיִן refers to plow, weapon, cut off, Mattock, food, cut, nourish."
63,5,"‎ חֵית refers to tent wall, wall, outside, divide, half, fence, separation."
64,5,"‎ טֵית basket, snake, surround, contain, mud."
65,5,"‎יוֹד refers to arm and hand, work, deed, arm and closed hand, hand, throw, worship."
66,5,"‎כ refers to palm of hand, to open, open palm, bend, open, allow, tame."
67,5,"‎כ refers to palm of hand, to open, open palm."
68,5,"‎ לָמֶד refers to shepherd stafff, teach, yoke, authority, bind, staff, goad, control, toward."
69,5,"Just as the waters of an underground spring rise upward from an unknown source to reveal themselves, so does the spring of wisdom rise up from the mysterious Source that is God. The words a man speaks are deep waters, A flowing stream, a fountain of wisdom. (Proverbs 18:4). Traditionally, Mem has several related meanings: waters, people, nations, languages, and tongues."
70,5,"‎מֵם refers to water, chaos, mighty, blood"
71,5,"‎נוּן refers to seed fish activity life continue heir son."
72,5,"‎נוּן refers to seed fish activity life seed continue heir son."
73,5,"‎סָמֶךְ refers to hand on staff, support, prop, thorn, grap, hate, protect."
75,5,"‎פֵּא mouth, word, speak, open, blow, scatter, edge."
76,5,"‎פֵּא mouth, word, speak, open, blow, scatter, edge."
77,5,"This name for the letter probably originated from a fast recitation of the alphabet (i.e., tsadi, qoph → tsadiq, qoph), influenced by the Hebrew word tzadik, meaning righteous person, man on side, desire, need, trail, journey, chase, hunt. "
78,5,"‎צָדִי meaning righteous person, man on side, desire, need, trail, journey, chase, hunt. "
79,5,"‎קוֹף sun on the horizon, behind, condense, circle, time."
80,5,"‎רֵישׁ refers to head of a man, head, person, first, top, beginning."
81,5,"‎שין two front teeth , sharp, press, eat, two, consume, destroy."
82,5,"‎תָּו mark, sign, covenant, crossed sticks, signal, monument."
52,5,"in function to the buailte (dot above, denoting lenition) in the old-style Irish alphabet."
53,5,"in function to the buailte (dot above, denoting lenition) in the old-style Irish alphabet."
74,5,"‎ עַיִן refers to eye, see, watch, know, shade, to see, experience."
54,5,"Inverted nun (‎ מנוזרת ""isolated nun"" or ‎ הפוכה ""inverted nun"" or ""׆‎"" in Hebrew) is a rare glyph used in classical Hebrew. Its function in the ancient texts is disputed. It takes the form of the letter nun in mirror image, and appears in the Masoretic text of the Tanakh in nine different places."
